Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
14;58530;"National Vital Statistics Reports";journal;"15518922, 15518930";"Public Health Services, US Dept of Health and Human Services";No;No;15,519;Q1;120;10;45;224;991;42;21,54;22,40;72,73;4;6;United States;Northern America;"Public Health Services, US Dept of Health and Human Services";"1998-2024";"Life-span and Life-course Studies (Q1)";"Social Sciences"
15;71056;"MMWR Surveillance Summaries";journal;"15458636, 15460738";"Centers for Disease Control and Prevention (CDC)";Yes;No;15,326;Q1;119;9;30;297;1682;30;57,05;33,00;75,00;3;9;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"2002-2009, 2011-2024";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)";"Environmental Science; Health Professions; Medicine; Social Sciences"
16;20206;"Academy of Management Review";journal;"03637425";"Academy of Management";No;No;14,402;Q1;320;51;135;5354;2515;126;10,61;104,98;27,27;0;6;United States;Northern America;"Academy of Management";"1978-1987, 1989-1991, 1996-2025";"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
17;17900156715;"IEEE Communications Surveys and Tutorials";journal;"1553877X";"Institute of Electrical and Electronics Engineers Inc.";Yes;No;14,184;Q1;287;145;249;29394;13976;243;54,52;202,72;23,33;0;40;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2005-2025";"Electrical and Electronic Engineering (Q1)";"Engineering"
18;21100862548;"Nature Catalysis";journal;"25201158";"Nature Publishing Group";No;No;14,132;Q1;162;185;506;7294;13367;377;25,30;39,43;24,94;0;47;United States;Northern America;"Nature Publishing Group";"2018-2025";"Biochemistry (Q1); Bioengineering (Q1); Catalysis (Q1); Process Chemistry and Technology (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering"
19;19900191906;"Academy of Management Annals";journal;"19416520, 19416067";"Academy of Management";No;No;13,877;Q1;119;23;64;5065;1312;62;19,20;220,22;26,67;1;1;United States;Northern America;"Academy of Management";"2010-2025";"Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting"
20;12010;"Annual Review of Psychology";journal;"00664308, 15452085";"Annual Reviews Inc.";No;No;13,786;Q1;298;25;81;3929;3026;78;32,57;157,16;41,79;2;3;United States;Northern America;"Annual Reviews Inc.";"1950-1958, 1960-1963, 1965-2025";"Psychology (miscellaneous) (Q1)";"Psychology"
21;19900191885;"American Economic Journal: Macroeconomics";journal;"19457707, 19457715";"American Economic Association";No;No;13,528;Q1;88;24;154;1475;1154;154;5,87;61,46;21,82;14;17;United States;Northern America;"American Economic Association";"2009-2024";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
22;22951;"Journal of Marketing";journal;"15477185, 00222429";"American Marketing Association";No;No;13,394;Q1;296;63;176;4655;3242;154;17,29;73,89;38,51;1;9;United States;Northern America;"American Marketing Association";"1969, 1971, 1973, 1977, 1979-1981, 1995-2025";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
23;27165;"Journal of Economic Literature";journal;"00220515";"American Economic Association";No;No;12,749;Q1;189;16;91;2700;1213;90;11,09;168,75;11,43;9;7;United States;Northern America;"American Economic Association";"1981, 1984, 1986, 1996-2024";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
24;26651;"Annual Review of Astronomy and Astrophysics";book series;"15454282, 00664146";"Annual Reviews Inc.";No;No;12,736;Q1;220;15;39;4257;1201;36;29,63;283,80;36,00;0;1;United States;Northern America;"Annual Reviews Inc.";"1990-2024";"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)";"Earth and Planetary Sciences; Physics and Astronomy"
25;21100863710;"Annual Review of Organizational Psychology and Organizational Behavior";journal;"23270608";"Annual Reviews Inc.";No;No;12,191;Q1;86;21;52;2548;1645;49;33,44;121,33;41,38;0;5;United States;Northern America;"Annual Reviews Inc.";"2014-2025";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)";"Business, Management and Accounting; Psychology"
26;11300153736;"Annual Review of Pathology: Mechanisms of Disease";journal;"15534006, 15534014";"Annual Reviews Inc.";No;No;12,185;Q1;156;22;65;3570;2434;65;33,18;162,27;34,33;0;10;United States;Northern America;"Annual Reviews Inc.";"2006-2021, 2023-2025";"Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Medicine"
27;24004;"Physiological Reviews";journal;"15221210, 00319333";"American Physiological Society";No;No;12,167;Q1;401;39;136;14416;4848;127;26,37;369,64;39,60;0;16;United States;Northern America;"American Physiological Society";"1945-2025";"Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Physiology (Q1); Physiology (medical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
28;20798;"Immunity";journal;"10974180, 10747613";"Cell Press";No;No;12,163;Q1;475;233;696;17127;13011;564;17,48;73,51;41,16;0;93;United States;Northern America;"Cell Press";"1994-2025";"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1)";"Immunology and Microbiology; Medicine"
29;146172;"Cell Metabolism";journal;"15504131, 19327420";"Cell Press";No;No;11,989;Q1;368;185;575;15294;13114;470;21,71;82,67;40,44;0;76;United States;Northern America;"Cell Press";"2005-2025";"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1)";"Biochemistry, Genetics and Molecular Biology"
30;21101023100;"Nature Cancer";journal;"26621347";"Nature Research";No;No;11,941;Q1;81;189;502;8618;7190;329;14,28;45,60;41,62;2;148;United States;Northern America;"Nature Research";"2020-2025";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
31;21100466539;"MMWR supplements";journal;"23808942, 23808950";"Epidemiology Program Office";No;No;11,672;Q1;30;22;18;0;631;18;35,06;0,00;76,47;5;19;United States;Northern America;"Epidemiology Program Office";"2016, 2020, 2022-2024";"Medicine (miscellaneous) (Q1)";"Medicine"
32;29949;"Journal of Clinical Oncology";journal;"15277755, 0732183X";"Lippincott Williams and Wilkins";No;No;11,205;Q1;646;622;1877;17957;26575;1306;13,85;28,87;41,59;0;459;United States;Northern America;"Lippincott Williams and Wilkins";"1983-2025";"Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
33;21100834904;"Joule";journal;"25424351";"Cell Press";No;No;10,868;Q1;221;232;663;13252;17769;527;23,73;57,12;26,59;5;174;United States;Northern America;"Cell Press";"2017-2025";"Energy (miscellaneous) (Q1)";"Energy"
34;21100258425;"Kidney International Supplements";journal;"21571716, 21571724";"Elsevier B.V.";No;No;10,788;Q1;54;12;28;598;853;23;81,56;49,83;40,33;0;9;United States;Northern America;"Elsevier B.V.";"2011-2022, 2024";"Nephrology (Q1)";"Medicine"
35;28599;"Reviews of Geophysics";journal;"19449208, 87551209";"John Wiley and Sons Inc";No;No;10,546;Q1;207;16;58;5964;2088;56;38,38;372,75;33,67;0;10;United States;Northern America;"John Wiley and Sons Inc";"1963-2025";"Geophysics (Q1)";"Earth and Planetary Sciences"
36;20191;"Academy of Management Journal";journal;"00014273";"Academy of Management";No;No;10,528;Q1;396;59;230;6497;2933;222;10,55;110,12;41,67;5;13;United States;Northern America;"Academy of Management";"1975-1987, 1989-2025";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
37;23571;"Science";journal;"10959203, 00368075";"American Association for the Advancement of Science";No;No;10,416;Q1;1382;1758;7107;20922;102916;4125;15,26;11,90;34,34;68;330;United States;Northern America;"American Association for the Advancement of Science";"1880-1881, 1883-2025";"History and Philosophy of Science (Q1); Multidisciplinary (Q1)";"Arts and Humanities; Multidisciplinary"
38;16036;"Administrative Science Quarterly";journal;"00018392, 19303815";"Johnson School at Cornell University";No;No;10,393;Q1;218;29;87;3139;928;82;7,37;108,24;37,78;0;15;United States;Northern America;"Johnson School at Cornell University";"1975-1987, 1989-1990, 1993-1994, 1996-2025";"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
39;22330;"Organizational Research Methods";journal;"15527425, 10944281";"SAGE Publications Inc.";No;No;10,181;Q1;148;43;86;3654;1937;83;30,02;84,98;28,69;0;4;United States;Northern America;"SAGE Publications Inc.";"1998-2025";"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
40;19700188417;"Annual Review of Condensed Matter Physics";journal;"19475454, 19475462";"Annual Reviews Inc.";No;No;9,795;Q1;96;15;51;2062;1376;51;31,41;137,47;24,24;0;0;United States;Northern America;"Annual Reviews Inc.";"2010-2024";"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1)";"Materials Science; Physics and Astronomy"
41;20110;"NBER Macroeconomics Annual";book series;"15372642, 08893365";"University of Chicago Press";No;No;9,760;Q1;71;16;58;337;167;12;2,95;21,06;0,00;2;1;United States;Northern America;"University of Chicago Press";"1996-2014, 2016, 2018-2024";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
42;110092;"Morbidity and Mortality Weekly Report";journal;"01492195, 1545861X";"Department of Health and Human Services";Yes;No;9,559;Q1;274;235;1012;1694;12236;834;13,00;7,21;64,12;99;132;United States;Northern America;"Department of Health and Human Services";"1981-2025";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)";"Environmental Science; Health Professions; Medicine; Social Sciences"
43;16801;"Annual Review of Biochemistry";book series;"15454509, 00664154";"Annual Reviews Inc.";No;No;9,520;Q1;332;22;78;3453;1411;78;20,09;156,95;38,71;0;3;United States;Northern America;"Annual Reviews Inc.";"1946-1948, 1950-1960, 1962-2024";"Biochemistry (Q1)";"Biochemistry, Genetics and Molecular Biology"
44;6100153018;"Cell Stem Cell";journal;"19345909, 18759777";"Cell Press";No;No;9,313;Q1;316;158;507;10474;6778;403;12,67;66,29;39,83;1;42;United States;Northern America;"Cell Press";"2007-2025";"Cell Biology (Q1); Genetics (Q1); Molecular Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology"
45;26038;"Endocrine Reviews";journal;"19457189, 0163769X";"The Endocrine Society";No;No;9,175;Q1;317;35;113;9418;3097;113;25,91;269,09;41,76;0;15;United States;Northern America;"The Endocrine Society";"1980-2025";"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
46;24722;"Annals of Mathematics Studies";book series;"00662313";"Princeton University";No;No;9,135;Q1;26;0;1;0;13;1;13,00;0,00;0,00;0;0;United States;Northern America;"Princeton University";"2001-2010, 2012-2020, 2022";"Mathematics (miscellaneous) (Q1)";"Mathematics"
47;18606;"Molecular Cell";journal;"10974164, 10972765";"Cell Press";No;No;9,051;Q1;459;401;1223;26754;15041;1055;12,04;66,72;39,53;0;77;United States;Northern America;"Cell Press";"1997-2025";"Cell Biology (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
48;22401;"Journal of the American College of Cardiology";journal;"15583597, 07351097";"Elsevier Inc.";No;No;9,015;Q1;512;682;2073;17965;19103;952;9,29;26,34;31,75;8;260;United States;Northern America;"Elsevier Inc.";"1983-2025";"Cardiology and Cardiovascular Medicine (Q1)";"Medicine"
49;19881;"Advanced Materials";journal;"09359648, 15214095";"Wiley-Blackwell";No;No;8,851;Q1;675;3634;5729;298276;168722;5702;27,78;82,08;33,42;4;1462;United States;Northern America;"Wiley-Blackwell";"1989-2025";"Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Nanoscience and Nanotechnology (Q1)";"Engineering; Materials Science"
50;13443;"Psychological Bulletin";journal;"00332909, 19391455";"American Psychological Association";No;No;8,696;Q1;379;45;104;12039;2559;103;19,12;267,53;57,73;0;13;United States;Northern America;"American Psychological Association";"1904-2025";"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)";"Arts and Humanities; Psychology"
51;22581;"Circulation";journal;"00097322, 15244539";"Lippincott Williams and Wilkins";No;No;8,668;Q1;691;617;1770;22956;24375;1169;13,55;37,21;35,19;0;260;United States;Northern America;"Lippincott Williams and Wilkins";"1950-2025";"Cardiology and Cardiovascular Medicine (Q1); Physiology (medical) (Q1)";"Medicine"
52;20635;"Journal of Management";journal;"01492063, 15571211";"SAGE Publications Inc.";No;No;8,636;Q1;296;177;259;20457;4972;244;13,08;115,58;35,23;9;48;United States;Northern America;"SAGE Publications Inc.";"1975-2025";"Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
53;24721;"Annals of Mathematics";journal;"0003486X";"Department of Mathematics at Princeton University";No;No;8,627;Q1;145;41;94;2079;574;94;5,34;50,71;10,75;0;0;United States;Northern America;"Department of Mathematics at Princeton University";"1996-2025";"Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
54;19900191767;"American Economic Journal: Applied Economics";journal;"19457790, 19457782";"American Economic Association";No;No;8,597;Q1;117;32;151;2124;995;151;6,12;66,38;28,13;24;19;United States;Northern America;"American Economic Association";"2009-2024";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
55;21100420583;"JAMA Oncology";journal;"23742445, 23742437";"American Medical Association";No;No;8,377;Q1;193;371;1123;6183;9242;500;8,32;16,67;39,86;8;253;United States;Northern America;"American Medical Association";"2015-2025";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
56;19584;"Annual Review of Public Health";journal;"01637525, 15452093";"Annual Reviews Inc.";No;No;8,291;Q1;189;27;53;3222;1207;52;22,77;119,33;64,71;2;23;United States;Northern America;"Annual Reviews Inc.";"1980-2020, 2022-2024";"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine"
57;28980;"Journal of Economic Perspectives";journal;"08953309";"American Economic Association";No;No;8,262;Q1;239;42;125;2693;1287;125;9,42;64,12;34,71;19;12;United States;Northern America;"American Economic Association";"1992-1994, 1996-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
58;13839;"Annual Review of Fluid Mechanics";book series;"15454479, 00664189";"Annual Reviews Inc.";No;No;8,258;Q1;231;24;66;2839;1920;64;24,57;118,29;21,57;0;3;United States;Northern America;"Annual Reviews Inc.";"1970-1971, 1973-2011, 2013-2025";"Condensed Matter Physics (Q1)";"Physics and Astronomy"
59;16721;"Annual Review of Plant Biology";journal;"15452123, 15435008";"Annual Reviews Inc.";Yes;No;8,258;Q1;307;28;109;4612;2656;104;28,16;164,71;35,06;1;6;United States;Northern America;"Annual Reviews Inc.";"1996-2024";"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
60;21100860945;"Science Immunology";journal;"24709468";"American Association for the Advancement of Science";No;No;8,220;Q1;123;162;533;9837;7216;523;13,14;60,72;43,60;0;61;United States;Northern America;"American Association for the Advancement of Science";"2016-2025";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
61;21101038708;"Innovation";journal;"26666758";"Cell Press";Yes;No;8,218;Q1;55;151;378;6224;8200;282;11,01;41,22;35,21;1;48;United States;Northern America;"Cell Press";"2020-2025";"Multidisciplinary (Q1)";"Multidisciplinary"
62;19700200701;"Annual Review of Economics";journal;"19411383, 19411391";"Annual Reviews Inc.";No;No;8,094;Q1;84;23;85;2559;942;85;11,82;111,26;14,81;9;15;United States;Northern America;"Annual Reviews Inc.";"2010-2024";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
63;22324;"Organization Science";journal;"15265455, 10477039";"INFORMS Institute for Operations Research and the Management Sciences";No;No;8,026;Q1;294;103;278;12206;2394;278;7,67;118,50;38,46;2;34;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1996-2025";"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
64;4600151524;"Annual Review of Clinical Psychology";journal;"15485951, 15485943";"Annual Reviews Inc.";No;No;8,021;Q1;158;18;65;2068;1529;65;17,40;114,89;49,02;1;9;United States;Northern America;"Annual Reviews Inc.";"2005-2024";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
65;21100228100;"Advances in Optics and Photonics";journal;"19438206";"Optica Publishing Group (formerly OSA)";No;No;7,982;Q1;91;12;39;3878;1278;39;28,48;323,17;22,39;0;2;United States;Northern America;"Optica Publishing Group (formerly OSA)";"2009-2024";"Atomic and Molecular Physics, and Optics (Q1); Water Science and Technology (Q1)";"Environmental Science; Physics and Astronomy"
66;6400153137;"Journal of Thoracic Oncology";journal;"15561380, 15560864";"Elsevier Inc.";No;No;7,948;Q1;190;253;741;5503;6704;353;7,97;21,75;37,70;1;139;United States;Northern America;"Elsevier Inc.";"2006-2025";"Medicine (miscellaneous) (Q1); Oncology (Q1); Pulmonary and Respiratory Medicine (Q1)";"Medicine"
67;19900191884;"American Economic Journal: Economic Policy";journal;"19457731, 1945774X";"American Economic Association";No;No;7,940;Q1;97;32;186;1979;1279;186;5,53;61,84;18,68;10;17;United States;Northern America;"American Economic Association";"2009-2024";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
68;120008;"Annual Review of Physiology";book series;"00664278, 15451585";"Annual Reviews Inc.";No;No;7,820;Q1;246;21;72;3387;1516;72;19,75;161,29;38,78;0;10;United States;Northern America;"Annual Reviews Inc.";"1946-2009, 2011-2024";"Physiology (Q1)";"Biochemistry, Genetics and Molecular Biology"
69;23714;"Marketing Science";journal;"07322399, 1526548X";"INFORMS Institute for Operations Research and the Management Sciences";No;No;7,543;Q1;159;72;175;3075;1193;169;5,94;42,71;24,48;5;9;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1996-2025";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
70;7500153126;"Journal of the European Economic Association";journal;"15424774, 15424766";"Wiley-Blackwell";No;No;7,503;Q1;125;71;217;4249;980;217;3,56;59,85;25,52;27;33;United States;Northern America;"Wiley-Blackwell";"2003-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
71;24204;"Review of Economics and Statistics";journal;"00346535, 15309142";"MIT Press Journals";No;No;7,425;Q1;211;100;262;4929;1450;262;4,91;49,29;23,17;68;53;United States;Northern America;"MIT Press Journals";"1978-2024";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Social Sciences"
72;21101274720;"Interdisciplinary Materials";journal;"2767441X, 27674401";"John Wiley and Sons Inc";Yes;No;7,351;Q1;34;34;72;3360;2020;69;28,06;98,82;32,77;0;20;United States;Northern America;"John Wiley and Sons Inc";"2022-2024";"Materials Science (miscellaneous) (Q1)";"Materials Science"
73;19600166419;"Foundations and Trends in Signal Processing";journal;"19328346, 19328354";"Now Publishers Inc";No;No;7,305;Q1;22;3;9;609;244;9;9,00;203,00;33,33;0;0;United States;Northern America;"Now Publishers Inc";"2007-2014, 2016-2024";"Signal Processing (Q1)";"Computer Science"
74;21100212318;"Cancer Discovery";journal;"21598274, 21598290";"American Association for Cancer Research Inc.";No;No;7,283;Q1;250;215;1311;8687;14180;1125;10,53;40,40;40,33;0;184;United States;Northern America;"American Association for Cancer Research Inc.";"2011-2025";"Oncology (Q1)";"Medicine"
75;28330;"Gastroenterology";journal;"15280012, 00165085";"W.B. Saunders";No;No;7,195;Q1;482;480;2082;12440;17027;980;7,19;25,92;38,04;4;136;United States;Northern America;"W.B. Saunders";"1945-2025";"Gastroenterology (Q1); Hepatology (Q1)";"Medicine"
76;14181;"Annual Review of Neuroscience";journal;"0147006X, 15454126";"Annual Reviews Inc.";No;No;7,112;Q1;269;18;72;2593;1053;72;13,45;144,06;40,91;0;0;United States;Northern America;"Annual Reviews Inc.";"1978-2024";"Neuroscience (miscellaneous) (Q1)";"Neuroscience"
77;5300152732;"Cell Host and Microbe";journal;"19346069, 19313128";"Cell Press";No;No;7,067;Q1;255;216;608;12721;7636;447;11,68;58,89;44,19;1;60;United States;Northern America;"Cell Press";"2007-2025";"Cancer Research (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Microbiology (Q1); Molecular Biology (Q1); Parasitology (Q1); Virology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
78;21101159371;"Nature Reviews Psychology";journal;"27310574";"Nature Publishing Group";No;No;7,064;Q1;33;127;252;10410;2427;107;9,63;81,97;55,81;1;5;United States;Northern America;"Nature Publishing Group";"2022-2025";"Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Psychology (miscellaneous) (Q1)";"Psychology"
79;24668;"Journal of the American Mathematical Society";journal;"10886834, 08940347";"American Mathematical Society";No;No;7,033;Q1;116;21;65;979;321;65;3,98;46,62;8,16;0;0;United States;Northern America;"American Mathematical Society";"1988-2025";"Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1)";"Mathematics"
80;18902;"IEEE Journal on Selected Areas in Communications";journal;"07338716";"Institute of Electrical and Electronics Engineers Inc.";No;No;7,023;Q1;274;271;765;12052;16234;747;19,92;44,47;24,81;0;39;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1983-2025";"Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
81;22961;"Journal of Marketing Research";journal;"00222437, 15477193";"American Marketing Association";No;No;6,961;Q1;212;68;184;4434;1420;181;6,43;65,21;30,77;4;9;United States;Northern America;"American Marketing Association";"1968, 1995-2025";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
82;21101046404;"Advances in Methods and Practices in Psychological Science";journal;"25152459, 25152467";"SAGE Publications Inc.";Yes;No;6,947;Q1;49;46;88;2513;1474;87;13,50;54,63;45,45;1;2;United States;Northern America;"SAGE Publications Inc.";"2018-2025";"Psychology (miscellaneous) (Q1)";"Psychology"
83;15646;"Annual Review of Political Science";book series;"10942939, 15451577";"Annual Reviews Inc.";No;No;6,903;Q1;138;24;73;2758;1042;73;10,49;114,92;50,00;5;7;United States;Northern America;"Annual Reviews Inc.";"1998-2024";"Sociology and Political Science (Q1)";"Social Sciences"
